"key","en","de"
"common.col.item","Item",""
"common.col.p","p",""
"common.comma","Comma",""
"common.estimator.fiml","(Full Information) Maximum Likelihood",""
"common.estimator.fimlr","Robust (Full Information) Maximum Likelihood",""
"common.estimator.ml","Maximum Likelihood",""
"common.estimator.mlr","Robust Maximum Likelihood",""
"common.group.label","Group: %s (n = %i)",""
"common.groupwise","Group-wise",""
"common.header","Header",""
"common.legend","Legend:",""
"common.none","None",""
"common.not.sig","Not sig.",""
"common.overall","Overall",""
"common.overall.n","Overall n = %i",""
"common.reload","Reload",""
"common.select","Select",""
"common.select.all","Select all",""
"common.semicolon","Semicolon",""
"common.separator","Separator",""
"common.sig.neg","Sig. neg.",""
"common.sig.pos","Sig. pos.",""
"common.tab","Tab",""
"common.total","Total",""
"common.unselect.all","Unselect all",""
"data.csv.quote.double","Double Quote",""
"data.csv.quote.label","Quote",""
"data.csv.quote.single","Single Quote",""
"data.error.no.numeric","No numeric columns found",""
"data.error.one.column","Only one column found",""
"data.error.unreadable","This data set could not be read.",""
"data.nav","1. Data selection",""
"data.preview.empty","No data selected",""
"data.preview.title","Raw data:",""
"data.source.csv","1b. Choose CSV File",""
"data.source.label","1a. Choose source of data",""
"data.source.spss","1b. Choose SPSS File",""
"data.source.workspace","1b. Choose data object from Workspace",""
"params.error.prefix","There was an ERROR:",""
"params.error.tests.failed","The model tests failed:",""
"params.estimator.label","Choose estimator:",""
"params.estimator.mvn.note","The test on multivariate normality recommends %s. See %s → %s.",""
"params.estimator.updated","Updated estimator based on MVN test result.",""
"params.fit.box.title","How the models are fitted:",""
"params.go.button","Fit and compare models",""
"params.grid.box.title","Choose models to test and compare:",""
"params.grid.compare","Compare",""
"params.grid.dont.test","Don't test.",""
"params.grid.include","Include",""
"params.grid.not.testable","Not testable.",""
"params.grid.tested","Tested.",""
"params.grid.too.few","Too few items.",""
"params.multigroup.checkbox","Perform Multigroup Tests",""
"params.nav","4. Testing Parameters",""
"params.parameterization.intercept","Fix the first intercept (%s = 0)",""
"params.parameterization.label","Choose the mean structure parameterization:",""
"params.parameterization.mean","Fix the latent mean (%s = 0)",""
"params.refit.pending","The estimator has changed. The results still come from the estimator that was chosen when the models were last fitted. Press %s to fit them again.",""
"params.rmsea.ci.hint","Enter a number between 0.5 and 0.999. The tables still use %s.",""
"params.rmsea.ci.label","Confidence level of the RMSEA interval:",""
"params.siglvl.hint","Enter a number between 0.001 and 1. The tables still use %s.",""
"params.siglvl.label","Significance level:",""
"params.tables.box.title","What the tables show:",""
"params.tables.hint","These two change the tables only. The models are not fitted again, so both can be changed after a run.",""
"results.aicbiccomp.title","AIC/BIC-comparison table:",""
